"Notes"	"Year"	"Year Code"	"Division"	"Division Code"	"Age Groups"	"Age Groups Code"	Count	Population	Crude Rate
	"1999"	"1999"	"East North Central"	"CENS-D3"	"65-69 years"	"65-69"	29602	1522710	1944.0
	"1999"	"1999"	"East North Central"	"CENS-D3"	"70-74 years"	"70-74"	33853	1450524	2333.8
	"1999"	"1999"	"East North Central"	"CENS-D3"	"75-79 years"	"75-79"	30392	1199775	2533.1
	"1999"	"1999"	"East North Central"	"CENS-D3"	"80-84 years"	"80-84"	20594	812675	2534.1
	"1999"	"1999"	"East North Central"	"CENS-D3"	"85+ years"	"85+"	16367	686431	2384.4
	"1999"	"1999"	"West North Central"	"CENS-D4"	"< 1 year"	"1"	44	242118	18.2
	"1999"	"1999"	"West North Central"	"CENS-D4"	"1-4 years"	"1-4"	194	983710	19.7
	"1999"	"1999"	"West North Central"	"CENS-D4"	"5-9 years"	"5-9"	113	1324864	8.5
	"1999"	"1999"	"West North Central"	"CENS-D4"	"10-14 years"	"10-14"	160	1376709	11.6
	"1999"	"1999"	"West North Central"	"CENS-D4"	"15-19 years"	"15-19"	277	1413209	19.6
	"1999"	"1999"	"West North Central"	"CENS-D4"	"20-24 years"	"20-24"	431	1229546	35.1
	"1999"	"1999"	"West North Central"	"CENS-D4"	"25-29 years"	"25-29"	664	1195214	55.6
	"1999"	"1999"	"West North Central"	"CENS-D4"	"30-34 years"	"30-34"	1092	1244369	87.8
	"1999"	"1999"	"West North Central"	"CENS-D4"	"35-39 years"	"35-39"	1855	1482600	125.1
	"1999"	"1999"	"West North Central"	"CENS-D4"	"40-44 years"	"40-44"	2899	1465469	197.8
	"1999"	"1999"	"West North Central"	"CENS-D4"	"45-49 years"	"45-49"	4351	1307971	332.7
	"1999"	"1999"	"West North Central"	"CENS-D4"	"50-54 years"	"50-54"	6053	1085538	557.6
	"1999"	"1999"	"West North Central"	"CENS-D4"	"55-59 years"	"55-59"	7819	853247	916.4
	"1999"	"1999"	"West North Central"	"CENS-D4"	"60-64 years "	"60-64"	9543	708742	1346.5
	"1999"	"1999"	"West North Central"	"CENS-D4"	"65-69 years"	"65-69"	12056	639898	1884.1
	"1999"	"1999"	"West North Central"	"CENS-D4"	"70-74 years"	"70-74"	13470	602482	2235.8
	"1999"	"1999"	"West North Central"	"CENS-D4"	"75-79 years"	"75-79"	12324	513077	2402.0
	"1999"	"1999"	"West North Central"	"CENS-D4"	"80-84 years"	"80-84"	8834	364433	2424.0
